N	smartMAE_mean	smartMAE_std	smartSTDAE_mean	smartSTDAE_std	dumbMAE_mean	dumbMAE_std	dumbSTDAE_mean	dumbSTDAE_std	
2	2.16497e-08	0.00000e+00	3.18643e-08	0.00000e+00	0.390390	0.007592	0.461694	0.007479
10	2.16497e-08	0.00000e+00	3.18643e-08	0.00000e+00	0.369005	0.002117	0.442228	0.001762
30	2.16497e-08	0.00000e+00	3.18643e-08	0.00000e+00	0.362889	0.002304	0.436480	0.002296
50	2.16497e-08	0.00000e+00	3.18643e-08	0.00000e+00	0.361170	0.001066	0.434424	0.001240
70	2.16497e-08	0.00000e+00	3.18643e-08	0.00000e+00	0.359462	0.001051	0.433052	0.001497
100	2.16497e-08	0.00000e+00	3.18643e-08	0.00000e+00	0.357984	0.001553	0.431584	0.001424
300	2.16497e-08	0.00000e+00	3.18643e-08	0.00000e+00	0.355441	0.000910	0.428779	0.001208
500	2.16497e-08	0.00000e+00	3.18643e-08	0.00000e+00	0.355628	0.001302	0.429046	0.001489
700	2.16497e-08	0.00000e+00	3.18643e-08	0.00000e+00	0.354883	0.001398	0.428184	0.001091
1000	2.16497e-08	0.00000e+00	3.18643e-08	0.00000e+00	0.354994	0.001692	0.428249	0.001435
